created_at	user_screen_name	user_name	text
Fri Jan 31 23:06:16 +0000 2020	CountryGPs	NZRGPN	RT @gingerbiscuit27: Great work Esther Maxim and team. Congrats on being a finalist. #ruraljobs #futureworkforce #innovation @CountryGPs @N…
Sat Feb 01 00:18:58 +0000 2020	papael2014	Komdan Brigade 01	RT @automeme: Samsung announced Neon, their "Artificial Human Project"#ArtificialIntelligence #Innovation #EmergingTechnologies #AI #Robo…
Sat Feb 01 00:27:04 +0000 2020	currentcee_	C H E V	RT @usainbolt: #ad Even in the office I’m the fastest in the world. Watch me pitch my new idea to @PayPal #Intern #BoltBucks #Innovation #X…
Sat Feb 01 00:53:47 +0000 2020	SoCalTelevision	SoCal Television	#Innovation #News &gt;&gt; Every year, fans consume more data at the Super Bowl as they try to capture pivo... Full Story… https://t.co/1DmLJiarfl
Sat Feb 01 00:54:04 +0000 2020	VanRijmenam	Dr Mark van Rijmenam ✈ in SYDNEY - Jan & Feb	RT @sarikabhattach: The beauty of human #innovation! #ArtificialIntelligence #Robotics https://t.co/M1KhsfFdxS
Sat Feb 01 01:00:41 +0000 2020	Smartorginc	SmartOrg	The silver lining of failure. How Disney’s Philosophy on Failure Drives Growth. https://t.co/bbHhNWq0OR #innovation… https://t.co/7gkC8akbVp
Sat Feb 01 01:04:13 +0000 2020	JessieStewartMD	Jessie Stewart	Great to be back in the studio today talking #IRad &amp; #Medical device #innovation with the @NCTraCS Biodesign team f… https://t.co/1VIccSwpxo
Sat Feb 01 01:10:00 +0000 2020	hey_itsLesha	Chal	RT @usainbolt: #ad Even in the office I’m the fastest in the world. Watch me pitch my new idea to @PayPal #Intern #BoltBucks #Innovation #X…
Sat Feb 01 01:12:19 +0000 2020	ManojMayogi	Manoj Mayogi Mishra	RT @Enterprisenxt: Find the right structure for your business risk assesment. From @curthopkins #innovation #risks https://t.co/3QNFt5DbnE
Sat Feb 01 01:27:49 +0000 2020	mgagnier82	Matt Gagnier	Food for Thought @LDHSS @OCDSB #innovation #awesomefood #greatstudentwork https://t.co/7n6j92AEYE
Sat Feb 01 01:29:52 +0000 2020	cravpup	Vulcan	RT @usainbolt: #ad Even in the office I’m the fastest in the world. Watch me pitch my new idea to @PayPal #Intern #BoltBucks #Innovation #X…
Sat Feb 01 01:34:00 +0000 2020	eqinity	Eqinity	RT @Ronald_vanLoon: The world in 2045, according to the Pentagonby @wef#AI #ArtificialIntelligence #Automation #Innovation #IoT #SmartCi…
Sat Feb 01 01:53:17 +0000 2020	amanvincent	Aman Vincent💡	RT @GabrielMariya: Great pleasure to present to EU networks my priorities in the field of #innovation, #research, #culture, #education #you…
Sat Feb 01 02:25:27 +0000 2020	indepmissionary	Chaplain Ihezver	Jesus Christ Christian Bible Prophecy News #technology #science #engineering #technews #innovation #lol #funny… https://t.co/eQNYq5LEKU
Sat Feb 01 02:37:01 +0000 2020	SBS_Tigers	Shrewsbury Boro Sch.	RT @LiterallySmash: Engineers of the future! @fse_sbs @SBS_Tigers #STEM #STEMed #STEMeducation #Engineering #innovation #keva https://t.co/…
Sat Feb 01 02:48:59 +0000 2020	Imarneee	Imani	RT @usainbolt: #ad Even in the office I’m the fastest in the world. Watch me pitch my new idea to @PayPal #Intern #BoltBucks #Innovation #X…
Sat Feb 01 02:58:21 +0000 2020	Andyfurato1	Anju-juju	RT @usainbolt: #ad Even in the office I’m the fastest in the world. Watch me pitch my new idea to @PayPal #Intern #BoltBucks #Innovation #X…
Sat Feb 01 03:12:44 +0000 2020	hernangraffe	luis hernan graffe	RT @automeme: Samsung announced Neon, their "Artificial Human Project"#ArtificialIntelligence #Innovation #EmergingTechnologies #AI #Robo…
Sat Feb 01 03:29:47 +0000 2020	MarcoRdm650511	Marco Antonio Reyes	RT @Paula_Piccard: #Technology changing the way we work#MWC20 #FutureofWork #DigitalTransformation #Innovation #IoT @SpirosMargaris @Har…
Sat Feb 01 03:34:14 +0000 2020	GlenGilmore	Glen Gilmore #MWC20	The importance of #5G 💥 by @CNN @CNNMoneyInvest#BigData #ArtificialIntelligence #MI #Robotics #Innovation… https://t.co/CVyIfzx6zg
