created_at	user_screen_name	user_name	text
Mon Nov 30 23:07:47 +0000 2020	ZoomLLShop1	ZoomLLShop	Dear Customers! Wishing #you and your #family a very #Merry Christmas and a #Happy New #Year! Zoomllshop a retail… https://t.co/I55HXhlNCw
Mon Nov 30 23:51:43 +0000 2020	Abiola05462938	Ricky💥	Happy New month❣️❣️❣️🇳🇬🇳🇬#ExcludedUK #GratefulHeart #Happy New Week #explosion #tuesdayvibe
Tue Dec 01 00:05:23 +0000 2020	KiddoWonders	Kiddo Wonders	Kid's Magnetic Wooden Puzzle 100 Pcs #family #happy https://t.co/FE2zT7vg1D https://t.co/jxNaWpHX6g
Tue Dec 01 01:05:03 +0000 2020	drkojosarfo	Kojo Sarfo, DNP	"Happiness Looks Good On You" shirt is out now!Shop at https://t.co/Rtc9AjfKG3#happinesslooksgoodonyou#happy… https://t.co/mAFHpVTuW2
Tue Dec 01 01:18:51 +0000 2020	ScottEvans108	Scott Evans	RT @KiaraEdwardsxo: It's a great day to have a great day 🙃#love #happy #beauty #sun #lifestyle https://t.co/MhPZWwogKG
Tue Dec 01 01:30:36 +0000 2020	On_soft_	Don Nelson	This month will not be a waste For me Amen #DecemberWish #December #happy https://t.co/ckOQFpUGue
Tue Dec 01 01:36:44 +0000 2020	Dihlomo	Dhlomo Komane	RT @ActionComplete: I have chosen to be #HAPPY because it is good for my health.~Voltaire#quotes #happiness #positivity https://t.co/ZKos…
Tue Dec 01 01:39:51 +0000 2020	NEarth0721	🐀唯泡鼠0709.	💞 cute cute girl ❤︎#draw #drawing #drawings #love #happy #illust #illustagram #desigh #family #fun #life #style… https://t.co/9YtewZ9fxq
Tue Dec 01 01:42:39 +0000 2020	lg_honey	Linnea Gresham	I know what I want....#iam @iam.affirmations #reminder #I_AM #positive #affirmation #happy https://t.co/AS5yWYiok5
Tue Dec 01 02:21:38 +0000 2020	Riteshxxx1	Riteshxxx	RT @KhushnumaKashm1: KUNZER VILLAGE GAMES #Happy #Exciting #Energetic #lively and #memorable, these words summarize the Village Games con…
Tue Dec 01 02:22:22 +0000 2020	SportsZeen	SportsZeen	#bag #chanel #clothes #siambrandname #followme #luxury #sbn #happy #follow #fashionblogger #summer #instadaily Orig… https://t.co/fJCovJknZR
Tue Dec 01 02:47:32 +0000 2020	LycanLeopard	pawing at straws	@pepe_mapache a wonderful update! #happy
Tue Dec 01 02:47:53 +0000 2020	prettyvintages	prettyvintagestuff	Women's Golden Curl Sequined Skirt #happy #instalike https://t.co/fNhRzMAZdO https://t.co/UfquL48MRU
Tue Dec 01 03:04:33 +0000 2020	jashforjimin	Just4Jimin	RT @JikookLuv4Life: Happy Jikook with Happy BTS plus Christmas. #Happy #BTS #CHRISTMAS https://t.co/Xa13HiMyRg
Tue Dec 01 03:05:01 +0000 2020	AngBTrying	Ang B Trying	In the Holiday Mood❤⭐🎄#happy #grateful #cozy https://t.co/17uuk4sHF5
Tue Dec 01 03:14:20 +0000 2020	ManishS49617299	Manish Sharma.covid19warrior from Rajasthan.	#Happy birthday the great singer Udit narayan https://t.co/C5Cxe7hZVt may long   leaves.🙏🙏🙏🙏🙏🙏🙏
Tue Dec 01 03:30:58 +0000 2020	glow_petra	Petra.Glow	to my girls - love yourself first. 🖤 #blonde #berlin #greeneyes #happy #love #hate #mercedesbenzplatz… https://t.co/PWFZAY62W1
Tue Dec 01 03:56:50 +0000 2020	MrsPhelps1993	Deborah Phelps	RT @ActionComplete: I have chosen to be #HAPPY because it is good for my health.~Voltaire#quotes #happiness #positivity https://t.co/ZKos…
Tue Dec 01 04:09:33 +0000 2020	aboutmybrain	About my Brain	Make time for the things that make you #happy https://t.co/U6bBbOh9fY
Tue Dec 01 04:13:08 +0000 2020	VooDooPickles	VooDooPickles	Pupper Kane got a new bed! He seems to enjoy it and his new toy! #cute #cutepuppy #happy #dogsoftwitter@Chewy https://t.co/E6uOpIJnAb
Tue Dec 01 04:31:13 +0000 2020	lynnsteve21	Lynn🐤	RT @07mystique: Follow 4 followback ♥️😘#FolloForFolloBack #instagood #instalike #cute #happy #picoftheday #madeinkenya #instalove https://…
Tue Dec 01 04:39:31 +0000 2020	grunyit	TheGrunyit	I’d Like to Propose A Toast!#propose #toast #proposeatoast #marriage #proposal #gettingmarried #bowtie #happy… https://t.co/2ugjHAH1cq
Tue Dec 01 04:52:00 +0000 2020	IamMikeyMic	MikeyMic	The finale! #happy #birthday #happybirthday #celebration #birthdaycelebration #cake #cakecakecake &amp; #more cake! @ W… https://t.co/AhSclgINhV
