created_at	user_screen_name	user_name	text
Thu Dec 31 23:00:11 +0000 2020	thesoundunique	The Sound Unique	#2021 #Anno #Buon #Buon2021 #BuonAnno #BuonAnnoNuovo #Felice #Felice2021 #FeliceAnno #FeliceAnnoNuovo #Happy… https://t.co/kfiXQDQMe2
Thu Dec 31 23:01:18 +0000 2020	TelejobETH	Telejob	The Telejob team wishes you a #Happy New Year! 🎇#Happynewyear #2021 @ETH @AV_ETH https://t.co/g5OuLF8iaA
Thu Dec 31 23:01:54 +0000 2020	puc_bag	puc	YIHAAAAAAAAHappy &amp; Healthy 2021 to all of you ❤️⁠#newyear #newyearseve #nye #celebrate #happy #party #2021… https://t.co/y7NhwtYeTK
Thu Dec 31 23:02:41 +0000 2020	BethFratesMD	Beth Frates, MD	RT @KariJoys: #Thankful people are #Happy! #JoyTrain #Joy #Love #Gratitude #GoldenHearts #IAM #Quote #MentalHealth #Mindfulness #ChooseLo…
Thu Dec 31 23:08:28 +0000 2020	Sweetestmoonuk	Lizzie 😁(Sweetestmoondust) 😁	#life #lifestyle#love #happy #thoughts #CerebralPalsy #happynewyear2021 https://t.co/xkyYpuBWjs https://t.co/NePK7LtHjA
Thu Dec 31 23:14:04 +0000 2020	HanByeol_91	Han Byeol Choi	Was it hard for youbecause of me?Was it really comfortable?Like a fool, I didn’t even notice#HAPPY
Thu Dec 31 23:15:12 +0000 2020	abims_nifemi	W+G (designs/D-m-animator Abimbola kehinde ibukun	No one is left behind.#Happy New Year @ooreoffecial@who @youthtothepeople @ Nigeria https://t.co/R3IVlHR9a2
Thu Dec 31 23:38:44 +0000 2020	PastorGoodHeart	GoodHeart O. Ekwueme	#HAPPY NEW YEAR BLESSINGS WITH MUCH LOVE!! @APGH🤗 https://t.co/Qdf64q3zVP
Thu Dec 31 23:38:49 +0000 2020	KenLTorr	Ken Torr	RT @ElfieRobinson: #Happy #Brexit #New #Year #Claire #Fox #and #commiserations that you thought you had been invited to a Brexit New Year e…
Thu Dec 31 23:39:06 +0000 2020	MovieFilmCrew	Victor Campbell	RT @tourscotland: Just for fun on #Hogmanay. Tour Scotland travel video of #Happy #New #Year #Scottish music on visit to many places around…
Thu Dec 31 23:49:27 +0000 2020	MrLarOli	Herr Schmidt	Happy New Year 🥂🍀🐷 #Silvester #sylvester #newyearseve #party #celebrations #luck #glück #happy #happiness #gaylife… https://t.co/swOShgyaGW
Thu Dec 31 23:54:12 +0000 2020	GaneshPragada5	Ganesh Pragada	RT @ANRLegend: #HAPPY NEW YEAR 2021 ##WILD DOG ##LOVE STORY ##MOST ELIGIBLE BACHELOR #ALL 3 FILMS ARE SLATED FOR SUMMER 2021 RELEASE .…
Fri Jan 01 00:00:53 +0000 2021	AbacoAdvisers	Ábaco Advisers	Happy New Year 2021 from the Ábaco Advisers Team!" #Happy #NewYear #2021 https://t.co/YYZ6qPu6Pn
Fri Jan 01 00:00:56 +0000 2021	JenCorio12	JenCorio	#Happy New Year Everyone! Bring on #2017 All the best to you, your friends and family!
Fri Jan 01 00:10:07 +0000 2021	suraj_adekunl	Adekunle suraj	Recharge card for 5 people's #jumatmubarak2021#Happy2021 #HAPPYNEWYEAR #Happy
Fri Jan 01 00:10:15 +0000 2021	King88677247	King 🤴	#Happy new year https://t.co/LqHXeI7n43
Fri Jan 01 00:10:59 +0000 2021	StalkerPredato2	Stalker_Predator_Elite	Tags: #happy #happynewyear #happynewyear2021 #new #years #year #hunters #love #affection #friends #family… https://t.co/gpkaOukqpn
Fri Jan 01 00:17:13 +0000 2021	Paul1Tutor	TUTOR PAUL1	#HAPPY NEW YEAR #2021! A YEAR OF NEW DISCOVERIES!Thank you for your unconditional support! Share your #links,… https://t.co/ecOfEEkHMO
Fri Jan 01 00:18:50 +0000 2021	RepairMyGadget1	Repair My Gadget	#Happy New Year to all of our lovely friends, Family and Customers that have supported us throughout 2020... here’s… https://t.co/LHVXjKRG0u
Fri Jan 01 00:20:59 +0000 2021	Abhijit69920385	Abhijit Mondal	RT @expansiononmind: Happy New Year 2021 ! #happynewyear #newyear #love #happy #newyearseve #newyears #like #party #photooftheday #follow…
Fri Jan 01 00:25:12 +0000 2021	john_siracusa	John Siracusa	RT @JohnLukeNYC: #Cheers #Happy &amp; #Healty #NewYear To You All &amp; Your Families. 😇😇 #Thoughts &amp; #Prayers To Those We Have Lost This Year. My…
Fri Jan 01 00:28:21 +0000 2021	Id_abdulrazak	Abdul-Razak Iddrisu 🇬🇭	A new year is like a blank book. The pen is in your hands. It is your chance to write a beautiful story for yourself. #Happy New Year 2021
Fri Jan 01 00:31:59 +0000 2021	862199	SMOKING GUN	RT @Simbranis: ARE YOU .. 🤔#happy #smile #enjoylife #passion #life #healthylifestyle #fun #swag  #gamers #gaming #community#people #worl…
Fri Jan 01 00:36:23 +0000 2021	justomotolani	Baby Sis 🔱🗡️⭕	RT @NinjanicN: @nengiofficial Happy birthday Queen ninja As your names AYIBANENGIMOTE so shall it be #Happy birthday Nengi #NengiAt23
Fri Jan 01 00:36:27 +0000 2021	EllyahSoftware	NetExpertPro	Happy New Year, World! 2021  #corporate #ellyah #happy #netxpertpro #new #party #software #tehnology #year… https://t.co/po5XdmP6wy
Fri Jan 01 00:39:56 +0000 2021	MDAKBARKABIR1	MD AKBAR KABIR	#HAPPY NEW YEAR 2021 https://t.co/FaL4IwZb5V
